# 일상 주제 목록 (한글,영어)
# 형식: 한글주제,영어프롬프트
# 총 3000개

# ========== 음식/카페 (600개) ==========
아침 식사,breakfast table morning meal
망고 스무디,mango smoothie tropical
딸기 스무디,strawberry smoothie berry
바나나 스무디,banana smoothie creamy
키위 스무디,kiwi smoothie green fresh
복숭아 스무디,peach smoothie summer
수박 주스,watermelon juice summer
오렌지 주스,orange juice citrus fresh
사과 주스,apple juice sweet fresh
포도 주스,grape juice purple sweet
당근 주스,carrot juice healthy orange
토마토 주스,tomato juice red healthy
셀러리 주스,celery juice green detox
케일 주스,kale juice green healthy
시금치 주스,spinach juice green iron
비트 주스,beet juice red healthy
생강차,ginger tea warm healthy
유자차,yuzu tea citrus korean
대추차,jujube tea korean traditional
쌍화차,ssanghwa tea korean herbal
모과차,quince tea korean aromatic
매실차,plum tea korean refreshing
오미자차,omija tea korean berry
레몬차,lemon tea citrus warm
캐모마일 차,chamomile tea relaxing
페퍼민트 차,peppermint tea refreshing
루이보스 차,rooibos tea caffeine free
얼그레이 티,earl grey tea bergamot
잉글리시 브렉퍼스트,english breakfast tea
다즐링 티,darjeeling tea indian
아쌈 티,assam tea strong indian
우롱차,oolong tea chinese
보이차,pu erh tea chinese aged
자스민 티,jasmine tea floral chinese
국화차,chrysanthemum tea floral
장미차,rose tea floral sweet
라벤더 차,lavender tea calming
히비스커스 차,hibiscus tea red tart
스테이크 저녁,steak dinner meat
연어 스테이크,salmon steak seafood
새우 파스타,shrimp pasta seafood
해산물 파스타,seafood pasta marinara
크림 파스타,cream pasta white sauce
토마토 파스타,tomato pasta red sauce
알리오올리오,aglio olio garlic pasta
봉골레 파스타,vongole clam pasta
카르보나라,carbonara creamy pasta
라자냐,lasagna layered pasta
리조또,risotto italian rice
뇨끼,gnocchi potato pasta
라비올리,ravioli stuffed pasta
페투치니,fettuccine ribbon pasta
펜네 파스타,penne tube pasta
스파게티,spaghetti classic pasta
마르게리따 피자,margherita pizza tomato basil
페퍼로니 피자,pepperoni pizza spicy
하와이안 피자,hawaiian pizza pineapple ham
고르곤졸라 피자,gorgonzola pizza cheese
콤비네이션 피자,combination pizza mixed
포테이토 피자,potato pizza creamy
불고기 피자,bulgogi pizza korean style
새우 피자,shrimp pizza seafood
치즈 피자,cheese pizza classic
바베큐 피자,bbq pizza smoky
타코,taco mexican food
부리또,burrito mexican wrap
퀘사디아,quesadilla mexican cheese
나초,nachos mexican chips
살사,salsa mexican dip
과카몰리,guacamole avocado dip
엔칠라다,enchilada mexican roll
파히타,fajita mexican grill
커리 라이스,curry rice japanese
돈까스,tonkatsu pork cutlet
우동,udon noodle soup
소바,soba buckwheat noodle
오코노미야끼,okonomiyaki japanese pancake
타코야끼,takoyaki octopus ball
규동,gyudon beef bowl
카츠동,katsudon pork cutlet bowl
오야코동,oyakodon chicken egg bowl
텐동,tendon tempura bowl
치라시,chirashi scattered sushi
사시미,sashimi raw fish
참치회,tuna sashimi fresh
연어회,salmon sashimi fresh
광어회,flatfish sashimi korean
우니,uni sea urchin
이쿠라,ikura salmon roe
타마고,tamago egg sushi
장어 덮밥,unagi don eel rice
소고기 덮밥,beef don rice bowl
닭고기 덮밥,chicken don rice bowl
회덮밥,hoe dupbap raw fish rice
비빔 냉면,bibim naengmyeon spicy cold noodle
물냉면,mul naengmyeon cold broth noodle
쫄면,jjolmyeon chewy noodle
비빔국수,bibim guksu spicy noodle
잔치국수,janchi guksu banquet noodle
칼국수,kalguksu knife cut noodle
수제비,sujebi hand torn dough soup
콩국수,kongguksu soy milk noodle
막국수,makguksu buckwheat noodle
밀면,milmyeon wheat noodle
짜장면,jajangmyeon black bean noodle
짬뽕,jjamppong spicy seafood noodle
볶음밥,fried rice wok
김치볶음밥,kimchi fried rice
새우볶음밥,shrimp fried rice
불고기볶음밥,bulgogi fried rice
오므라이스,omurice omelette rice
하이라이스,hayashi rice japanese
카레라이스,curry rice japanese style
덮밥 정식,rice bowl set meal
백반 정식,korean home meal set
된장찌개 정식,soybean stew set meal
김치찌개 정식,kimchi stew set meal
순두부찌개,soft tofu stew spicy
부대찌개,army stew korean fusion
감자탕,pork bone soup potato
설렁탕,seolleongtang ox bone soup
갈비탕,galbitang short rib soup
삼계탕,samgyetang ginseng chicken soup
육개장,yukgaejang spicy beef soup
해장국,haejangguk hangover soup
콩나물국,bean sprout soup
미역국,seaweed soup birthday
떡국,tteokguk rice cake soup
만두국,dumpling soup korean
수육,boiled pork sliced
보쌈,bossam wrapped pork
족발,jokbal pig feet
닭발,chicken feet spicy
곱창,gopchang intestine bbq
막창,makchang intestine grilled
대창,daechang large intestine
양념치킨,yangnyeom chicken spicy
후라이드치킨,fried chicken crispy
간장치킨,soy garlic chicken
파닭,green onion chicken
마늘치킨,garlic chicken savory
허니버터치킨,honey butter chicken
크리스피치킨,crispy chicken crunchy
순살치킨,boneless chicken
닭강정,dakgangjeong sweet crispy chicken
찜닭,jjimdak braised chicken
닭볶음탕,dakbokkeum spicy chicken stew
닭갈비,dak galbi spicy stir fried chicken
불닭,fire chicken super spicy
치즈닭갈비,cheese dak galbi
삼겹살 구이,grilled pork belly
목살 구이,grilled pork neck
항정살 구이,grilled pork jowl
갈비 구이,grilled short rib
소갈비 구이,grilled beef rib
LA갈비,la galbi marinated rib
양념갈비,marinated galbi sweet
생갈비,raw galbi unseasoned
꽃등심,ribeye steak korean
안심 스테이크,tenderloin steak
채끝 스테이크,striploin steak
토시살,hanging tender beef
살치살,chuck flap tail beef
부채살,oyster blade beef
치마살,flank steak beef
제비추리,beef sirloin flap
육회,yukhoe raw beef korean
육사시미,beef sashimi thin sliced
타르타르,tartare raw beef french

# ========== 날씨/계절/시간 (400개) ==========
오늘 날씨,today weather sky clouds
맑은 하늘,clear blue sky sunny
흐린 날씨,cloudy weather overcast sky
비 오는 날,rainy day weather drops
눈 오는 날,snowy day winter weather
안개 낀 아침,foggy morning misty weather
무지개 하늘,rainbow sky after rain
노을 하늘,sunset sky orange pink
새벽 하늘,dawn sky early morning
밤하늘 별,night sky stars
보름달 밤,full moon night sky
초승달 밤,crescent moon night
구름 많은 날,cloudy day sky
소나기 오후,afternoon shower rain
장마철 비,monsoon season rain
태풍 주의,typhoon weather stormy
황사 날씨,yellow dust weather
미세먼지 날,fine dust hazy day
맑은 공기,fresh clean air
상쾌한 바람,refreshing breeze wind
시원한 바람,cool breeze pleasant
따뜻한 햇살,warm sunshine rays
뜨거운 여름,hot summer heat
서늘한 가을,cool autumn weather
춥은 겨울,cold winter weather
포근한 봄,warm cozy spring
봄비 내리는 날,spring rain drizzle
여름 소나기,summer rain shower
가을비 내리는,autumn rain falling
첫눈 오는 날,first snow winter day
함박눈 내리는,heavy snow falling
눈보라 치는,snowstorm blizzard winter
성에 낀 창문,frost on window winter
고드름,icicle winter cold
얼음 언 호수,frozen lake winter
낙엽 지는 가을,falling autumn leaves
단풍 구경,autumn foliage colorful
은행잎 노란,yellow ginkgo leaves
벚꽃 피는 봄,cherry blossom spring pink
개나리 봄꽃,forsythia yellow spring
진달래 봄꽃,azalea pink spring flower
목련 꽃,magnolia white flower spring
라일락 향기,lilac fragrant purple spring
장미 피는 계절,rose blooming season
해바라기 여름,sunflower summer field
코스모스 가을,cosmos autumn flower
국화 가을꽃,chrysanthemum autumn flower
동백 겨울꽃,camellia winter flower
매화 초봄,plum blossom early spring
수선화 봄,daffodil spring yellow
튤립 봄,tulip spring colorful
히아신스 봄,hyacinth spring fragrant
프리지아 향기,freesia fragrant spring
월요일 아침,monday morning start week
화요일 오후,tuesday afternoon midweek
수요일 점심,wednesday lunch hump day
목요일 저녁,thursday evening almost friday
금요일 밤,friday night weekend coming
토요일 오전,saturday morning weekend
일요일 오후,sunday afternoon relaxing
주말 아침,weekend morning lazy
주말 오후,weekend afternoon leisure
주말 저녁,weekend evening relax
평일 아침,weekday morning routine
평일 점심,weekday lunch break
평일 저녁,weekday evening tired
새벽 기상,early morning wake up
아침 출근,morning commute work
점심시간,lunch time break
퇴근길,evening commute home
저녁 시간,evening time dinner
밤 시간,night time dark
자정 무렵,around midnight late
한낮 더위,midday heat hot
해질녘,sunset time golden hour
해뜰녘,sunrise time morning glow
정오 햇살,noon sunshine bright
오전 시간,morning hours am
오후 시간,afternoon hours pm
이른 아침,early morning quiet
늦은 밤,late night quiet
깊은 밤,deep night silent
새벽녘,dawn time early
황혼 무렵,twilight time dusk
1월 새해,january new year winter
2월 발렌타인,february valentine winter
3월 봄,march spring beginning
4월 벚꽃,april cherry blossom spring
5월 가정의 달,may family month spring
6월 초여름,june early summer
7월 한여름,july midsummer hot
8월 휴가,august vacation summer
9월 초가을,september early autumn
10월 단풍,october autumn leaves
11월 늦가을,november late autumn
12월 연말,december year end winter
설날 연휴,lunar new year holiday
추석 연휴,chuseok harvest festival
크리스마스,christmas winter holiday
연말 분위기,year end atmosphere festive
신년 첫날,new year first day
생일 날,birthday special day
기념일,anniversary special day
휴일 오전,holiday morning relax
공휴일,public holiday day off
연차 사용,annual leave day off
반차 오후,half day off afternoon
월급날,payday happy day
불금,friday night party time
꿀토,sweet saturday leisure
썬데이,sunday funday relaxing
먼데이블루,monday blues start week
수요병,wednesday slump midweek
브런치 주말,weekend brunch late morning
레이지 선데이,lazy sunday relaxing
해피 먼데이,happy monday positive start

# ========== 취미/여가 (400개) ==========
독서 시간,reading time book quiet
책 읽기,reading book pages
소설 읽기,reading novel fiction
에세이 읽기,reading essay literature
시집 읽기,poetry book reading
만화책 읽기,manga comic reading
잡지 읽기,magazine reading lifestyle
신문 읽기,newspaper reading morning
전자책 읽기,ebook reading tablet
오디오북 듣기,audiobook listening
음악 듣기,listening music headphones
노래 부르기,singing song karaoke
악기 연주,playing instrument music
피아노 연주,playing piano music
기타 연주,playing guitar music
우쿨렐레 연주,playing ukulele music
바이올린 연주,playing violin music
드럼 연주,playing drums music
플룻 연주,playing flute music
하모니카 연주,playing harmonica music
영화 보기,watching movie cinema
드라마 보기,watching drama series
예능 보기,watching variety show
다큐멘터리 보기,watching documentary
애니메이션 보기,watching animation anime
유튜브 보기,watching youtube video
넷플릭스 보기,watching netflix streaming
웹툰 보기,reading webtoon digital comic
그림 그리기,drawing painting art
수채화 그리기,watercolor painting art
유화 그리기,oil painting art
스케치 하기,sketching pencil drawing
일러스트 그리기,illustration digital art
캘리그라피,calligraphy lettering art
색칠 하기,coloring book relaxing
만들기 공예,crafting handmade diy
뜨개질 하기,knitting yarn craft
자수 놓기,embroidery needlework craft
바느질 하기,sewing fabric craft
비즈 공예,beading jewelry craft
가죽 공예,leather crafting handmade
목공예 만들기,woodworking craft
도자기 만들기,pottery ceramics craft
양초 만들기,candle making craft
비누 만들기,soap making craft
향수 만들기,perfume making craft
꽃꽂이,flower arrangement ikebana
화분 가꾸기,plant care gardening
정원 가꾸기,garden care outdoor
텃밭 가꾸기,vegetable garden farming
요리 하기,cooking homemade food
베이킹 하기,baking homemade dessert
커피 내리기,brewing coffee barista
홈카페,home cafe coffee making
사진 찍기,photography taking photos
필름 카메라,film camera analog
폴라로이드,polaroid instant photo
셀카 찍기,selfie taking photo
풍경 사진,landscape photography nature
인물 사진,portrait photography people
음식 사진,food photography styling
야경 사진,night photography city lights
일출 사진,sunrise photography morning
일몰 사진,sunset photography golden hour
운동 하기,exercising workout fitness
조깅 하기,jogging running outdoor
러닝 하기,running exercise cardio
산책 하기,walking stroll outdoor
등산 하기,hiking mountain climbing
자전거 타기,cycling biking outdoor
수영 하기,swimming pool water
요가 하기,yoga stretching mindful
필라테스 하기,pilates exercise core
헬스 운동,gym workout fitness
홈트 운동,home training workout
스트레칭 하기,stretching flexibility
명상 하기,meditation mindfulness
낮잠 자기,taking nap resting
휴식 취하기,resting relaxing break
멍 때리기,spacing out relaxing
창밖 보기,looking out window view
하늘 보기,looking at sky clouds
별 보기,stargazing night sky
일기 쓰기,writing diary journal
블로그 쓰기,blogging writing online
편지 쓰기,writing letter handwritten
시 쓰기,writing poetry verse
소설 쓰기,writing novel fiction
게임 하기,playing games gaming
보드게임 하기,playing board games
퍼즐 맞추기,doing puzzle jigsaw
레고 조립,building lego blocks
프라모델 조립,building model kit
크로스워드 퍼즐,crossword puzzle word game
스도쿠 풀기,solving sudoku number puzzle
탈출 게임,escape room game
방탈출,room escape game
볼링 치기,bowling strike game
당구 치기,billiards pool game
다트 던지기,playing darts throwing
골프 치기,playing golf swing
테니스 치기,playing tennis racket
배드민턴 치기,playing badminton shuttle
탁구 치기,playing ping pong paddle
축구 하기,playing soccer football
농구 하기,playing basketball hoop
야구 하기,playing baseball bat
배구 하기,playing volleyball net
스쿼시 치기,playing squash racket
클라이밍,rock climbing bouldering
스케이트 타기,ice skating winter
롤러블레이드,rollerblading inline skating
스케이트보드,skateboarding trick
서핑 하기,surfing ocean wave
윈드서핑,windsurfing water sport
패들보드,paddleboarding water calm
카약 타기,kayaking water paddle
카누 타기,canoeing water paddle
래프팅,rafting river adventure
스노보드 타기,snowboarding winter slope
스키 타기,skiing winter mountain
썰매 타기,sledding snow winter
낚시 하기,fishing rod lake river
캠핑 하기,camping tent outdoor
글램핑 하기,glamping luxury camping
백패킹,backpacking hiking travel
피크닉 가기,picnic outdoor blanket
소풍 가기,outing day trip
드라이브 하기,driving road trip
바다 보기,watching ocean sea view
산 보기,watching mountain view
강 보기,watching river stream
호수 보기,watching lake calm water
해변 걷기,walking beach sand
숲속 걷기,walking forest trail
공원 산책,walking park outdoor
놀이공원 가기,amusement park rides
워터파크 가기,water park slides
동물원 가기,zoo animals visit
수족관 가기,aquarium fish visit
박물관 가기,museum art culture visit
미술관 가기,art gallery exhibition visit
전시회 가기,exhibition gallery visit
공연 보기,watching performance show
콘서트 가기,concert music live
뮤지컬 보기,watching musical theater
연극 보기,watching play theater
오페라 보기,watching opera performance
발레 보기,watching ballet dance
클래식 공연,classical music concert
재즈 공연,jazz music live
버스킹 구경,busking street performance
플리마켓 구경,flea market shopping
벼룩시장 구경,thrift market vintage
빈티지샵 구경,vintage shop antique
서점 구경,bookstore browsing
문구점 구경,stationery shop browsing
편집샵 구경,select shop fashion
백화점 구경,department store shopping
아울렛 쇼핑,outlet shopping bargain
온라인 쇼핑,online shopping delivery
배달 음식,food delivery ordering
택배 받기,receiving package delivery

# ========== 일상/생활 (500개) ==========
아침 기상,morning wake up routine
알람 끄기,turning off alarm clock
이불 개기,folding blanket bed
침대 정리,making bed tidy
세수 하기,washing face morning
양치 하기,brushing teeth hygiene
샤워 하기,taking shower bathroom
머리 감기,washing hair shampoo
머리 말리기,drying hair hairdryer
스킨케어,skincare routine face
화장 하기,putting on makeup
선크림 바르기,applying sunscreen
머리 손질,styling hair brush
옷 입기,getting dressed clothes
출근 준비,getting ready for work
가방 챙기기,packing bag belongings
현관 나서기,leaving front door
엘리베이터 타기,taking elevator building
버스 타기,taking bus commute
지하철 타기,taking subway metro
택시 타기,taking taxi cab ride
자가용 출근,driving to work car
도보 출근,walking to work commute
자전거 출근,cycling to work bike
회사 도착,arriving at office work
컴퓨터 켜기,turning on computer
업무 시작,starting work task
회의 하기,having meeting office
미팅 하기,having meeting business
보고서 작성,writing report document
이메일 확인,checking email inbox
전화 받기,answering phone call
점심시간 외출,lunch break outing
동료와 점심,lunch with colleague
혼밥 점심,eating alone lunch
편의점 점심,convenience store lunch
구내식당 점심,cafeteria lunch meal
외근 하기,working outside office
재택근무,working from home remote
화상 회의,video conference call
프레젠테이션,presentation slides work
야근 하기,working overtime late
퇴근 하기,leaving work going home
퇴근길 풍경,commute home scenery
집에 도착,arriving home tired
현관문 열기,opening front door home
신발 벗기,taking off shoes entrance
손 씻기,washing hands hygiene
옷 갈아입기,changing clothes home
편한 옷 입기,wearing comfortable clothes
소파에 눕기,lying on sofa relaxing
티비 켜기,turning on tv watching
에어컨 켜기,turning on air conditioner
히터 켜기,turning on heater warm
창문 열기,opening window fresh air
환기 시키기,ventilating room fresh
불 켜기,turning on light bright
불 끄기,turning off light dark
저녁 준비,preparing dinner cooking
냉장고 열기,opening refrigerator food
재료 손질,preparing ingredients cooking
요리 시작,starting to cook kitchen
설거지 하기,washing dishes cleaning
식탁 정리,clearing dining table
쓰레기 버리기,taking out trash garbage
분리수거,recycling sorting waste
청소 하기,cleaning house tidying
청소기 돌리기,vacuuming floor cleaning
걸레질 하기,mopping floor wet cleaning
먼지 털기,dusting furniture cleaning
빨래 하기,doing laundry washing clothes
세탁기 돌리기,running washing machine
빨래 널기,hanging laundry drying
빨래 개기,folding laundry clothes
다림질 하기,ironing clothes pressing
옷장 정리,organizing closet clothes
서랍 정리,organizing drawers tidy
책상 정리,organizing desk workspace
화장대 정리,organizing vanity makeup
신발장 정리,organizing shoe rack
침구 정리,organizing bedding blanket
베개 정리,fluffing pillow bed
커튼 열기,opening curtains sunlight
커튼 닫기,closing curtains privacy
블라인드 내리기,lowering blinds window
창문 닫기,closing window secure
문 잠그기,locking door secure
가스 확인,checking gas stove safety
전기 확인,checking electricity safety
물 잠그기,turning off water tap
보일러 켜기,turning on boiler heat
보일러 끄기,turning off boiler heat
공기청정기 켜기,turning on air purifier
가습기 켜기,turning on humidifier
제습기 켜기,turning on dehumidifier
선풍기 켜기,turning on fan cool
난로 켜기,turning on heater warm
전기장판 켜기,turning on heating pad
침대에 눕기,lying in bed rest
자기 전 루틴,bedtime routine night
잠자리 준비,getting ready for sleep
잠들기,falling asleep night
알람 맞추기,setting alarm clock
핸드폰 충전,charging phone battery
수면 모드,sleep mode phone silent
취침 시간,bedtime sleeping hour
늦잠 자기,sleeping in late morning
주말 늦잠,weekend sleeping late
평일 기상,weekday wake up routine
아침 스트레칭,morning stretching exercise
아침 물 한 잔,morning glass of water
모닝 커피,morning coffee routine
신문 읽기,reading newspaper morning
뉴스 보기,watching news morning
날씨 확인,checking weather forecast
일정 확인,checking schedule calendar
할 일 목록,to do list tasks
메모 하기,taking notes memo
카카오톡 확인,checking kakao talk messages
문자 확인,checking text messages
통화 하기,making phone call
영상 통화,video calling face time
가족 통화,calling family phone
친구 연락,contacting friend message
안부 전화,checking in phone call
생일 축하,birthday wishes celebration
축하 메시지,congratulation message
감사 인사,thank you message gratitude
미안 인사,apology message sorry
격려 메시지,encouragement message support
택배 받기,receiving delivery package
택배 부치기,sending package shipping
우편물 확인,checking mail postal
편지 받기,receiving letter mail
청구서 확인,checking bills payment
공과금 납부,paying utility bills
월세 납부,paying rent monthly
관리비 납부,paying maintenance fee
카드값 납부,paying credit card bill
통신비 납부,paying phone bill
보험료 납부,paying insurance premium
적금 넣기,depositing savings account
은행 업무,banking errands
ATM 이용,using ATM machine
송금 하기,transferring money bank
환전 하기,exchanging currency
주유 하기,getting gas fuel car
세차 하기,washing car clean
차량 점검,car maintenance check
타이어 교체,changing tires car
오일 교체,changing oil car
병원 가기,going to hospital medical
약국 가기,going to pharmacy medicine
건강검진,health checkup medical
치과 가기,going to dentist teeth
안과 가기,going to eye doctor
피부과 가기,going to dermatologist
내과 가기,going to clinic doctor
약 먹기,taking medicine pills
영양제 먹기,taking vitamins supplements
마스크 쓰기,wearing mask protection
손소독,hand sanitizing hygiene
체온 재기,checking temperature health
혈압 재기,checking blood pressure
체중 재기,weighing scale health
미용실 가기,going to hair salon
헤어 커트,getting haircut salon
파마 하기,getting perm hair
염색 하기,dyeing hair color
네일 아트,getting nail art manicure
피부 관리,skincare treatment facial
마사지 받기,getting massage relaxation
찜질방 가기,going to korean spa
사우나 가기,going to sauna steam
목욕탕 가기,going to bathhouse
수영장 가기,going to swimming pool
헬스장 가기,going to gym fitness
요가원 가기,going to yoga studio
필라테스 가기,going to pilates studio
학원 가기,going to academy class
도서관 가기,going to library study
카페 가기,going to cafe coffee
음식점 가기,going to restaurant dining
마트 가기,going to supermarket grocery
편의점 가기,going to convenience store
백화점 가기,going to department store
쇼핑몰 가기,going to shopping mall
시장 가기,going to traditional market
꽃집 가기,going to flower shop
빵집 가기,going to bakery bread
정육점 가기,going to butcher meat
생선가게 가기,going to fish market
과일가게 가기,going to fruit shop
채소가게 가기,going to vegetable shop
철물점 가기,going to hardware store
세탁소 가기,going to dry cleaner
수선집 가기,going to tailor alteration
신발 수선,shoe repair cobbler
열쇠 복사,key duplication locksmith
우체국 가기,going to post office
구청 가기,going to district office
동사무소 가기,going to community center
주민센터 가기,going to resident center
민원 처리,handling civil affairs
서류 발급,issuing documents official
여권 발급,getting passport issued
비자 신청,applying for visa
면허 갱신,renewing license
등록증 발급,getting registration card

# ========== 감정/기분 (300개) ==========
기분 좋은 날,feeling good happy day
행복한 하루,happy day joyful
즐거운 시간,fun time enjoyable
신나는 기분,excited feeling energetic
설레는 마음,flutter heart anticipation
두근두근,heart pounding excitement
기대되는 마음,looking forward anticipation
희망찬 아침,hopeful morning optimistic
긍정적인 하루,positive day outlook
활기찬 기분,energetic feeling vibrant
상쾌한 아침,refreshing morning fresh
개운한 기분,refreshed feeling clean
후련한 마음,relieved feeling clear
뿌듯한 마음,proud feeling accomplished
보람찬 하루,rewarding day fulfilling
감사한 마음,grateful heart thankful
감동적인 순간,touching moment emotional
따뜻한 마음,warm heart feeling
포근한 느낌,cozy warm feeling
편안한 마음,comfortable relaxed feeling
평온한 하루,peaceful day calm
고요한 시간,quiet time serene
차분한 마음,calm mind peaceful
여유로운 시간,leisurely time relaxed
한가로운 오후,idle afternoon relaxed
느긋한 기분,laid back feeling easy
나른한 오후,drowsy afternoon lazy
졸린 오후,sleepy afternoon tired
피곤한 저녁,tired evening exhausted
지친 하루,exhausting day worn out
힘든 하루,tough day difficult
바쁜 하루,busy day hectic
정신없는 하루,chaotic day overwhelming
스트레스 받는,stressed out tense
답답한 마음,frustrated feeling stuffy
짜증나는 일,annoying thing irritating
화나는 일,angry thing frustrating
속상한 마음,upset heart sad
서운한 마음,disappointed feeling let down
아쉬운 마음,regretful feeling miss
그리운 마음,missing feeling longing
외로운 밤,lonely night alone
쓸쓸한 기분,lonely feeling melancholy
우울한 날,depressing day blue
슬픈 마음,sad heart tearful
눈물 나는,tearful crying emotional
감상적인 밤,sentimental night emotional
회상하는 시간,reminiscing time memory
추억에 잠기다,lost in memories nostalgia
옛 생각,old memories thinking
그때 그 시절,those days past times
좋았던 시절,good old days past
잊지 못할 순간,unforgettable moment memory
소중한 기억,precious memory cherish
특별한 하루,special day memorable
의미있는 시간,meaningful time significant
값진 경험,valuable experience precious
새로운 시작,new beginning fresh start
새출발,fresh start new chapter
변화의 시작,beginning of change
도전하는 마음,challenging spirit brave
용기 내기,gathering courage brave
자신감 얻기,gaining confidence boost
성취감,sense of achievement success
만족스러운,satisfying feeling content
충만한 마음,fulfilled heart content
가득 찬 마음,full heart complete
